timestamp,source_ip,host,log_type,severity,raw_message,tags
2026-06-21T11:54:49.367818+00:00,8.172.7.60,auth-srv,application,critical,GET /api/v1/users HTTP/1.1 200 2021ms from 135.226.214.254,"http, auth"
2026-06-21T11:43:14.449155+00:00,28.241.228.22,db-master,application,info,POST /login HTTP/1.1 401 from 151.111.112.233 — invalid credentials,"http, auth"
2026-06-21T11:38:21.045568+00:00,160.236.74.128,db-master,système,info,Out of memory: Kill process 29965 (sshd),"disk, error"
2026-06-21T11:37:25.901086+00:00,50.231.249.37,vpn-gw,système,info,CPU temperature above threshold: 94°C,"disk, error"
2026-06-21T11:17:05.247049+00:00,196.158.23.36,proxy-01,système,warning,Out of memory: Kill process 26365 (postgres),"kernel, oom"
2026-06-21T11:15:13.785155+00:00,223.59.82.154,auth-srv,système,critical,CPU temperature above threshold: 84°C,"disk, error"
2026-06-21T11:05:40.382049+00:00,48.251.150.24,vpn-gw,réseau,critical,New connection accepted from 212.254.205.63,"tls, error"
2026-06-21T10:56:40.349376+00:00,152.53.8.60,proxy-01,réseau,warning,TLS handshake timeout from 207.82.110.215,"tls, error"
2026-06-21T10:51:15.149017+00:00,128.75.152.170,web-srv-02,système,info,systemd: systemd.service start request repeated too quickly,"kernel, oom"
2026-06-21T10:46:03.313367+00:00,201.221.131.15,auth-srv,application,warning,GET /api/v1/users HTTP/1.1 200 3112ms from 125.102.137.122,"db, timeout"
2026-06-21T10:38:07.234889+00:00,27.237.112.93,web-srv-01,système,warning,Out of memory: Kill process 46374 (systemd),"kernel, oom"
2026-06-21T10:28:26.166364+00:00,189.199.10.200,vpn-gw,système,info,CPU temperature above threshold: 104°C,"kernel, oom"
2026-06-21T10:25:18.846804+00:00,166.255.216.135,db-replica,auth,info,pam_unix(sshd:auth): authentication failure; user=petersalexandra,"ssh, brute-force"
2026-06-21T09:56:15.426490+00:00,216.94.174.54,proxy-01,système,info,Out of memory: Kill process 84030 (redis),"cpu, temp"
2026-06-21T09:31:51.996492+00:00,98.40.122.170,web-srv-01,réseau,critical,DROP IN=eth0 OUT= SRC=4.30.17.65 DST=10.251.236.103 PROTO=TCP DPT=3306,"firewall, drop"
2026-06-21T09:25:44.822277+00:00,7.152.122.122,proxy-01,application,info,Unhandled exception in worker 1639: NullPointerException,"http, api"
2026-06-21T08:57:21.173837+00:00,13.146.166.73,proxy-01,application,info,POST /login HTTP/1.1 401 from 53.149.206.115 — invalid credentials,"db, timeout"
2026-06-21T08:49:02.680423+00:00,201.91.61.234,web-srv-01,auth,warning,Accepted publickey for fbarnett from 133.74.236.182 port 3604,"ssh, login"
2026-06-21T07:53:32.188217+00:00,72.115.63.254,web-srv-02,réseau,info,Connection from 53.29.194.3:23799 to 10.23.47.127:22 ESTABLISHED,"firewall, drop"
2026-06-21T07:25:11.213050+00:00,45.100.2.70,db-replica,réseau,warning,New connection accepted from 56.111.1.206,"firewall, drop"
2026-06-21T07:18:49.822045+00:00,50.91.252.207,db-master,réseau,info,TLS handshake timeout from 218.12.100.94,"tcp, established"
2026-06-21T07:07:18.282767+00:00,92.87.95.143,auth-srv,réseau,info,Connection from 175.179.154.202:36932 to 192.168.118.210:6379 ESTABLISHED,"firewall, drop"
2026-06-21T06:44:04.844465+00:00,121.141.222.242,db-replica,réseau,warning,TLS handshake timeout from 151.247.14.42,"firewall, drop"
2026-06-21T06:34:24.478507+00:00,72.170.190.6,db-master,réseau,info,Connection from 141.135.161.204:15039 to 172.28.218.17:6379 ESTABLISHED,"tls, error"
2026-06-21T06:31:25.563375+00:00,61.39.163.18,proxy-01,réseau,info,DROP IN=eth0 OUT= SRC=154.173.210.136 DST=172.27.13.79 PROTO=TCP DPT=22,"firewall, drop"
2026-06-21T05:57:45.465419+00:00,70.17.156.79,auth-srv,système,warning,systemd: systemd.service start request repeated too quickly,"cpu, temp"
2026-06-21T05:46:32.733458+00:00,94.68.178.22,auth-srv,réseau,info,New connection accepted from 84.244.219.235,"tls, error"
2026-06-21T05:42:25.618611+00:00,167.52.61.187,monitor,auth,info,Accepted publickey for kathleenrogers from 213.114.85.50 port 43514,"ssh, brute-force"
2026-06-21T05:35:15.547272+00:00,201.30.198.29,monitor,application,critical,POST /login HTTP/1.1 401 from 18.88.160.67 — invalid credentials,"http, api"
2026-06-21T05:11:36.912372+00:00,107.19.213.99,web-srv-01,réseau,info,New connection accepted from 171.23.62.162,"tls, error"
2026-06-21T05:04:27.699864+00:00,116.216.216.156,monitor,système,warning,Out of memory: Kill process 70392 (redis),"kernel, oom"
2026-06-21T05:02:30.865825+00:00,65.156.144.249,web-srv-02,réseau,info,DROP IN=eth0 OUT= SRC=184.232.200.172 DST=172.26.8.104 PROTO=TCP DPT=80,"firewall, drop"
2026-06-21T04:34:54.636975+00:00,200.215.23.108,db-replica,système,info,Out of memory: Kill process 98805 (redis),"disk, error"
2026-06-21T04:25:09.042436+00:00,210.128.116.3,vpn-gw,application,warning,Unhandled exception in worker 49583: NullPointerException,"http, auth"
2026-06-21T04:19:07.527489+00:00,80.29.251.108,auth-srv,auth,critical,Failed password for paulowens from 194.221.76.65 port 10176 ssh2,"auth, sudo"
2026-06-21T04:10:20.634063+00:00,70.128.172.127,db-replica,système,info,systemd: sshd.service start request repeated too quickly,"disk, error"
2026-06-21T03:45:36.760334+00:00,32.39.254.37,monitor,auth,warning,Invalid user isaac09 from 131.164.245.133,"auth, sudo"
2026-06-21T03:27:46.672660+00:00,109.52.91.235,proxy-01,système,warning,systemd: nginx.service start request repeated too quickly,"disk, error"
2026-06-21T03:05:54.634594+00:00,193.4.218.123,proxy-01,auth,critical,Failed password for holly48 from 110.103.180.101 port 64526 ssh2,"auth, sudo"
2026-06-21T02:55:17.415734+00:00,184.221.163.29,proxy-01,application,info,Database query timeout after 30s: SELECT * FROM events,"http, auth"
2026-06-21T02:24:11.352821+00:00,170.16.253.246,auth-srv,auth,info,Invalid user sheilahawkins from 154.254.25.75,"ssh, login"
2026-06-21T02:12:24.443956+00:00,119.118.94.17,web-srv-02,réseau,warning,DROP IN=eth0 OUT= SRC=115.175.167.50 DST=172.29.107.64 PROTO=TCP DPT=6379,"firewall, drop"
2026-06-21T01:51:23.505143+00:00,132.34.193.58,proxy-01,système,critical,kernel: EXT4-fs error on device sda1,"cpu, temp"
2026-06-21T01:48:44.488632+00:00,172.191.137.182,web-srv-01,système,info,kernel: EXT4-fs error on device sda1,"kernel, oom"
2026-06-21T01:34:14.369826+00:00,101.55.133.92,vpn-gw,application,warning,Database query timeout after 30s: SELECT * FROM events,"http, api"
2026-06-21T01:28:50.798713+00:00,153.188.117.158,web-srv-02,auth,info,pam_unix(sshd:auth): authentication failure; user=nancy65,"auth, sudo"
2026-06-21T01:28:04.964610+00:00,203.81.11.217,db-replica,système,info,CPU temperature above threshold: 102°C,"kernel, oom"
2026-06-21T01:26:49.823829+00:00,90.129.238.47,monitor,système,warning,CPU temperature above threshold: 87°C,"cpu, temp"
2026-06-21T01:17:31.206190+00:00,159.45.134.212,vpn-gw,réseau,info,DROP IN=eth0 OUT= SRC=9.100.30.3 DST=192.168.189.149 PROTO=TCP DPT=22,"tcp, established"
2026-06-21T01:07:50.060134+00:00,69.187.131.246,monitor,système,info,Out of memory: Kill process 58795 (redis),"kernel, oom"
2026-06-21T01:02:54.768872+00:00,147.50.100.112,monitor,auth,critical,pam_unix(sshd:auth): authentication failure; user=aaron05,"ssh, brute-force"
2026-06-21T00:56:37.108220+00:00,32.42.230.92,web-srv-01,système,info,CPU temperature above threshold: 86°C,"kernel, oom"
2026-06-21T00:56:34.308881+00:00,123.114.46.15,db-master,système,info,CPU temperature above threshold: 104°C,"cpu, temp"
2026-06-21T00:50:27.949104+00:00,81.241.42.127,web-srv-01,auth,warning,pam_unix(sshd:auth): authentication failure; user=alexanderscott,"ssh, login"
2026-06-21T00:22:27.680240+00:00,18.128.12.223,db-master,système,info,CPU temperature above threshold: 82°C,"kernel, oom"
2026-06-21T00:09:06.628295+00:00,143.189.190.123,db-master,système,info,kernel: EXT4-fs error on device sda1,"cpu, temp"
2026-06-21T00:07:39.873765+00:00,143.108.84.146,db-replica,application,info,GET /api/v1/users HTTP/1.1 200 327ms from 8.214.141.154,"db, timeout"
2026-06-20T23:56:54.343016+00:00,26.160.50.252,db-replica,réseau,info,Connection from 10.15.166.31:10459 to 192.168.112.35:3306 ESTABLISHED,"tcp, established"
2026-06-20T23:56:46.697852+00:00,170.10.24.3,db-master,système,info,kernel: EXT4-fs error on device sda1,"disk, error"
2026-06-20T23:55:40.696924+00:00,95.31.85.67,db-replica,application,critical,POST /login HTTP/1.1 401 from 126.69.231.160 — invalid credentials,"http, api"
2026-06-20T23:54:38.323298+00:00,15.221.142.119,monitor,auth,warning,Failed password for heather38 from 70.168.246.178 port 31752 ssh2,"ssh, brute-force"
2026-06-20T23:52:56.748310+00:00,143.95.194.21,db-replica,auth,critical,pam_unix(sshd:auth): authentication failure; user=austinkristin,"auth, sudo"
2026-06-20T23:39:36.722551+00:00,157.244.201.245,auth-srv,réseau,info,Connection from 39.134.130.36:37385 to 192.168.126.8:80 ESTABLISHED,"tls, error"
2026-06-20T23:27:27.358701+00:00,97.129.176.9,db-replica,système,warning,kernel: EXT4-fs error on device sda1,"disk, error"
2026-06-20T23:20:51.071460+00:00,70.31.6.56,monitor,application,info,Database query timeout after 30s: SELECT * FROM events,"db, timeout"
2026-06-20T22:37:00.781776+00:00,219.166.104.158,db-master,réseau,info,TLS handshake timeout from 114.45.185.55,"tls, error"
2026-06-20T22:01:01.618724+00:00,169.215.174.236,auth-srv,auth,warning,pam_unix(sshd:auth): authentication failure; user=denise54,"ssh, brute-force"
2026-06-20T21:52:49.494988+00:00,180.24.249.175,vpn-gw,auth,info,pam_unix(sshd:auth): authentication failure; user=vmills,"ssh, brute-force"
2026-06-20T21:38:27.869913+00:00,81.203.126.237,web-srv-02,réseau,critical,Connection from 156.5.159.77:14635 to 172.23.42.214:443 ESTABLISHED,"tcp, established"
2026-06-20T21:19:15.940879+00:00,140.244.153.146,vpn-gw,application,info,Database query timeout after 30s: SELECT * FROM events,"db, timeout"
2026-06-20T21:06:34.405700+00:00,34.173.71.101,vpn-gw,application,warning,Unhandled exception in worker 23885: NullPointerException,"db, timeout"
2026-06-20T21:01:00.939541+00:00,179.202.51.45,db-master,application,info,Database query timeout after 30s: SELECT * FROM events,"http, auth"
2026-06-20T20:58:17.825931+00:00,24.250.36.163,auth-srv,application,info,Database query timeout after 30s: SELECT * FROM events,"http, auth"
2026-06-20T20:56:29.698022+00:00,216.185.46.218,auth-srv,système,info,kernel: EXT4-fs error on device sda1,"kernel, oom"
2026-06-20T20:49:19.075281+00:00,150.18.226.133,web-srv-01,application,info,GET /api/v1/users HTTP/1.1 200 680ms from 119.138.131.35,"http, auth"
2026-06-20T20:47:03.247703+00:00,153.222.228.254,monitor,application,warning,POST /login HTTP/1.1 401 from 164.159.89.11 — invalid credentials,"http, auth"
2026-06-20T20:38:48.061150+00:00,171.24.92.12,auth-srv,auth,info,Accepted publickey for anthony43 from 91.130.178.214 port 53951,"ssh, brute-force"
2026-06-20T20:37:18.965046+00:00,73.243.109.29,db-master,système,info,Out of memory: Kill process 46666 (nginx),"kernel, oom"
2026-06-20T20:35:38.784531+00:00,99.169.78.129,monitor,auth,critical,Invalid user yguzman from 197.162.16.130,"ssh, brute-force"
2026-06-20T20:17:52.485962+00:00,70.33.204.37,auth-srv,système,info,kernel: EXT4-fs error on device sda1,"kernel, oom"
2026-06-20T20:13:50.440789+00:00,86.123.233.87,monitor,auth,warning,Accepted publickey for phillipssonya from 176.49.101.65 port 23332,"ssh, login"
2026-06-20T19:59:56.195379+00:00,46.12.206.164,proxy-01,réseau,info,New connection accepted from 196.193.108.200,"tcp, established"
2026-06-20T19:50:49.303694+00:00,132.6.98.166,vpn-gw,système,warning,CPU temperature above threshold: 93°C,"cpu, temp"
2026-06-20T19:42:28.299909+00:00,133.214.8.11,db-master,système,info,systemd: postgres.service start request repeated too quickly,"cpu, temp"
2026-06-20T19:41:44.450610+00:00,128.197.90.1,db-master,auth,warning,Invalid user karentaylor from 178.229.139.239,"ssh, login"
2026-06-20T19:22:48.707150+00:00,111.29.137.37,web-srv-02,application,warning,Database query timeout after 30s: SELECT * FROM events,"db, timeout"
2026-06-20T19:13:50.024760+00:00,108.59.223.144,web-srv-02,application,info,Unhandled exception in worker 89662: NullPointerException,"http, api"
2026-06-20T18:54:54.772228+00:00,7.179.95.105,vpn-gw,auth,info,Invalid user ygates from 146.3.80.121,"ssh, login"
2026-06-20T18:36:57.454428+00:00,114.73.208.147,web-srv-02,réseau,info,DROP IN=eth0 OUT= SRC=185.0.190.225 DST=10.209.158.147 PROTO=TCP DPT=3306,"firewall, drop"
2026-06-20T18:34:12.818630+00:00,214.61.179.199,vpn-gw,système,info,Out of memory: Kill process 97524 (postgres),"kernel, oom"
2026-06-20T18:28:22.969945+00:00,165.48.58.248,web-srv-02,application,critical,POST /login HTTP/1.1 401 from 141.182.0.91 — invalid credentials,"http, api"
2026-06-20T17:52:09.522764+00:00,26.59.181.113,auth-srv,application,warning,Unhandled exception in worker 97655: NullPointerException,"db, timeout"
2026-06-20T17:42:08.931458+00:00,109.16.45.177,web-srv-02,réseau,warning,New connection accepted from 54.65.173.103,"tcp, established"
2026-06-20T17:28:33.126486+00:00,182.214.124.188,monitor,application,critical,GET /api/v1/users HTTP/1.1 200 3699ms from 75.196.191.247,"http, auth"
2026-06-20T17:23:39.124994+00:00,116.129.191.91,web-srv-01,application,warning,Database query timeout after 30s: SELECT * FROM events,"db, timeout"
2026-06-20T16:55:16.281403+00:00,208.84.66.146,web-srv-02,auth,info,Accepted publickey for kimberlyhernandez from 114.104.206.25 port 11720,"ssh, login"
2026-06-20T16:51:43.315889+00:00,47.21.82.166,db-master,auth,warning,Failed password for benjaminturner from 133.67.236.183 port 29994 ssh2,"ssh, brute-force"
2026-06-20T16:41:40.933963+00:00,205.30.221.198,proxy-01,système,critical,Out of memory: Kill process 96958 (postgres),"cpu, temp"
2026-06-20T16:28:55.904437+00:00,175.134.187.219,web-srv-01,réseau,info,TLS handshake timeout from 174.8.191.112,"tcp, established"
2026-06-20T16:25:21.714315+00:00,175.192.94.31,monitor,système,info,Out of memory: Kill process 76008 (postgres),"cpu, temp"
2026-06-20T16:09:09.558358+00:00,67.207.200.185,db-replica,réseau,info,TLS handshake timeout from 188.237.175.246,"firewall, drop"
2026-06-20T15:59:18.463983+00:00,36.234.71.143,monitor,système,info,systemd: nginx.service start request repeated too quickly,"kernel, oom"
2026-06-20T15:55:29.163782+00:00,44.171.21.228,proxy-01,application,info,Database query timeout after 30s: SELECT * FROM events,"http, api"
2026-06-20T15:54:53.351600+00:00,189.56.200.133,db-replica,auth,info,Accepted publickey for jodisoto from 98.98.180.54 port 2255,"auth, sudo"
2026-06-20T15:54:23.311758+00:00,106.140.72.217,monitor,système,warning,CPU temperature above threshold: 80°C,"disk, error"
2026-06-20T15:51:56.865962+00:00,75.183.218.178,web-srv-02,système,warning,CPU temperature above threshold: 95°C,"kernel, oom"
2026-06-20T15:43:48.331085+00:00,37.253.235.126,db-master,réseau,info,DROP IN=eth0 OUT= SRC=122.75.157.242 DST=192.168.237.47 PROTO=TCP DPT=3306,"tls, error"
2026-06-20T15:35:13.418636+00:00,41.140.30.148,vpn-gw,système,warning,kernel: EXT4-fs error on device sda1,"disk, error"
2026-06-20T15:30:14.552461+00:00,218.55.58.43,db-master,système,info,Out of memory: Kill process 2158 (sshd),"cpu, temp"
2026-06-20T15:15:58.901893+00:00,186.188.118.113,auth-srv,système,info,systemd: redis.service start request repeated too quickly,"disk, error"
2026-06-20T15:07:04.436475+00:00,30.123.140.110,proxy-01,réseau,warning,Connection from 29.70.8.46:13348 to 10.25.24.78:22 ESTABLISHED,"tls, error"
2026-06-20T14:41:26.398503+00:00,141.111.168.246,auth-srv,application,info,Database query timeout after 30s: SELECT * FROM events,"db, timeout"
2026-06-20T13:57:01.753174+00:00,106.89.171.232,web-srv-02,application,warning,POST /login HTTP/1.1 401 from 76.228.144.246 — invalid credentials,"db, timeout"
2026-06-20T13:48:27.574601+00:00,119.193.28.43,vpn-gw,système,warning,systemd: systemd.service start request repeated too quickly,"cpu, temp"
2026-06-20T13:37:50.962447+00:00,78.179.46.165,auth-srv,application,info,GET /api/v1/users HTTP/1.1 200 274ms from 163.222.42.23,"db, timeout"
2026-06-20T13:37:33.434702+00:00,41.233.71.103,web-srv-01,réseau,info,Connection from 184.237.253.152:44942 to 192.168.109.174:22 ESTABLISHED,"tcp, established"
2026-06-20T13:37:26.178625+00:00,115.12.156.159,db-replica,auth,warning,pam_unix(sshd:auth): authentication failure; user=jmorgan,"ssh, brute-force"
2026-06-20T13:33:34.140101+00:00,14.62.158.109,web-srv-01,réseau,info,DROP IN=eth0 OUT= SRC=79.182.53.77 DST=10.66.52.253 PROTO=TCP DPT=443,"firewall, drop"
2026-06-20T13:26:21.243395+00:00,187.204.71.158,proxy-01,réseau,info,New connection accepted from 117.158.230.223,"tls, error"
2026-06-20T13:23:39.233180+00:00,54.117.43.59,web-srv-02,auth,info,pam_unix(sshd:auth): authentication failure; user=janice74,"auth, sudo"
2026-06-20T13:20:54.280547+00:00,128.12.155.107,proxy-01,réseau,info,TLS handshake timeout from 152.3.91.73,"tcp, established"
2026-06-20T12:49:19.022117+00:00,116.202.126.252,db-master,système,info,CPU temperature above threshold: 92°C,"kernel, oom"
2026-06-20T12:45:31.086265+00:00,148.128.109.202,db-replica,auth,info,Failed password for joseph70 from 47.95.251.130 port 21389 ssh2,"auth, sudo"
2026-06-20T12:36:18.283960+00:00,76.71.100.84,vpn-gw,auth,info,Failed password for david15 from 58.130.247.250 port 52547 ssh2,"auth, sudo"
2026-06-20T12:33:19.817204+00:00,130.77.210.186,monitor,système,info,CPU temperature above threshold: 80°C,"disk, error"
2026-06-20T12:26:59.594240+00:00,130.57.32.87,proxy-01,réseau,info,TLS handshake timeout from 223.50.236.111,"tcp, established"
2026-06-20T12:18:52.446854+00:00,145.114.77.49,proxy-01,application,warning,Unhandled exception in worker 8823: NullPointerException,"http, auth"
2026-06-20T12:07:08.916763+00:00,52.199.78.242,proxy-01,système,info,CPU temperature above threshold: 91°C,"kernel, oom"
2026-06-20T12:04:19.785842+00:00,133.161.207.232,db-master,application,warning,Unhandled exception in worker 42656: NullPointerException,"http, auth"
2026-06-20T12:01:38.383539+00:00,12.108.4.151,db-replica,système,info,systemd: nginx.service start request repeated too quickly,"disk, error"
2026-06-20T11:57:54.810870+00:00,169.46.67.172,auth-srv,auth,warning,pam_unix(sshd:auth): authentication failure; user=mowen,"ssh, brute-force"
2026-06-20T11:49:56.550994+00:00,141.89.3.124,db-master,système,info,Out of memory: Kill process 68118 (postgres),"cpu, temp"
2026-06-20T11:49:04.536795+00:00,19.221.77.118,db-master,auth,info,Invalid user hannah84 from 71.202.119.74,"ssh, login"
2026-06-20T11:48:51.269053+00:00,15.227.18.118,db-replica,application,info,POST /login HTTP/1.1 401 from 35.89.186.29 — invalid credentials,"http, auth"
2026-06-20T11:45:50.424802+00:00,40.131.160.33,vpn-gw,système,warning,systemd: systemd.service start request repeated too quickly,"cpu, temp"
2026-06-20T11:42:53.624367+00:00,8.187.121.180,db-master,auth,warning,Failed password for snydercourtney from 138.74.144.34 port 38828 ssh2,"ssh, brute-force"
2026-06-20T11:06:23.266097+00:00,51.143.239.118,db-replica,réseau,warning,DROP IN=eth0 OUT= SRC=147.228.3.151 DST=192.168.22.228 PROTO=TCP DPT=6379,"tcp, established"
2026-06-20T11:05:49.123824+00:00,18.98.170.45,db-replica,application,info,GET /api/v1/users HTTP/1.1 200 2788ms from 105.11.103.19,"http, auth"
2026-06-20T11:01:11.419694+00:00,167.97.217.56,auth-srv,application,critical,POST /login HTTP/1.1 401 from 119.96.126.178 — invalid credentials,"http, auth"
2026-06-20T10:58:52.890829+00:00,171.172.11.0,db-replica,réseau,warning,Connection from 106.163.179.139:9470 to 192.168.142.106:443 ESTABLISHED,"tls, error"
2026-06-20T10:54:25.155890+00:00,9.171.10.166,web-srv-02,application,critical,POST /login HTTP/1.1 401 from 34.23.203.12 — invalid credentials,"db, timeout"
2026-06-20T10:51:55.897834+00:00,49.8.177.109,vpn-gw,système,info,Out of memory: Kill process 15348 (postgres),"kernel, oom"
2026-06-20T10:34:55.547032+00:00,37.255.53.103,web-srv-02,système,info,systemd: sshd.service start request repeated too quickly,"kernel, oom"
2026-06-20T10:22:40.881614+00:00,150.123.243.90,vpn-gw,application,info,Database query timeout after 30s: SELECT * FROM events,"http, api"
2026-06-20T10:11:09.889964+00:00,195.222.208.54,vpn-gw,auth,critical,Invalid user tshaw from 53.122.147.117,"ssh, login"
2026-06-20T09:50:48.171967+00:00,86.96.11.88,web-srv-02,réseau,warning,New connection accepted from 66.87.102.175,"tcp, established"
2026-06-20T09:40:29.507699+00:00,109.79.78.58,auth-srv,réseau,info,Connection from 95.40.22.195:61436 to 172.31.106.153:5432 ESTABLISHED,"tcp, established"
2026-06-20T09:31:39.091856+00:00,102.237.216.74,proxy-01,système,info,kernel: EXT4-fs error on device sda1,"cpu, temp"
2026-06-20T09:30:43.306742+00:00,81.108.205.47,auth-srv,réseau,warning,TLS handshake timeout from 167.87.237.178,"tls, error"
2026-06-20T09:20:56.232826+00:00,148.57.211.195,db-master,application,info,POST /login HTTP/1.1 401 from 71.68.243.21 — invalid credentials,"http, api"
2026-06-20T09:13:32.284599+00:00,206.160.90.44,web-srv-01,auth,info,pam_unix(sshd:auth): authentication failure; user=renee82,"ssh, brute-force"
2026-06-20T08:57:43.524039+00:00,58.139.193.185,vpn-gw,système,info,Out of memory: Kill process 12355 (postgres),"cpu, temp"
2026-06-20T08:52:40.638583+00:00,59.171.121.225,db-replica,auth,warning,Invalid user bpreston from 199.92.101.110,"ssh, login"
2026-06-20T08:28:17.789787+00:00,145.159.80.47,web-srv-02,auth,warning,Failed password for butlermatthew from 83.32.140.224 port 5186 ssh2,"ssh, login"
2026-06-20T08:24:34.449823+00:00,69.207.242.206,db-master,auth,warning,Invalid user brandi84 from 15.161.7.135,"ssh, login"
2026-06-20T08:23:37.297345+00:00,211.250.175.103,db-replica,auth,info,Accepted publickey for ruizmichele from 56.6.56.100 port 21852,"ssh, login"
2026-06-20T08:21:06.672209+00:00,19.220.34.212,vpn-gw,auth,critical,pam_unix(sshd:auth): authentication failure; user=vcampbell,"auth, sudo"
2026-06-20T08:11:14.030769+00:00,11.238.3.18,auth-srv,réseau,info,Connection from 56.160.19.18:24821 to 10.150.9.142:80 ESTABLISHED,"tls, error"
2026-06-20T08:09:35.080987+00:00,218.96.146.17,db-replica,auth,info,Invalid user zachary01 from 185.180.5.48,"ssh, brute-force"
2026-06-20T08:03:33.645735+00:00,194.236.87.103,db-replica,application,info,Unhandled exception in worker 43059: NullPointerException,"http, api"
2026-06-20T08:02:07.670952+00:00,182.154.2.138,web-srv-02,système,warning,kernel: EXT4-fs error on device sda1,"cpu, temp"
2026-06-20T07:59:09.117541+00:00,53.204.46.201,db-replica,application,warning,GET /api/v1/users HTTP/1.1 200 1416ms from 31.146.41.170,"db, timeout"
2026-06-20T07:48:41.946361+00:00,182.18.175.2,vpn-gw,application,info,GET /api/v1/users HTTP/1.1 200 3069ms from 151.45.102.144,"http, api"
2026-06-20T07:47:44.956496+00:00,109.59.166.254,db-replica,système,info,Out of memory: Kill process 7387 (redis),"cpu, temp"
2026-06-20T07:37:38.730422+00:00,109.174.228.85,web-srv-01,auth,info,Failed password for tinasanchez from 55.147.27.69 port 16663 ssh2,"auth, sudo"
2026-06-20T07:27:57.079059+00:00,124.33.229.41,vpn-gw,application,info,Unhandled exception in worker 22331: NullPointerException,"http, api"
2026-06-20T07:27:37.040429+00:00,192.181.156.53,vpn-gw,application,warning,GET /api/v1/users HTTP/1.1 200 3236ms from 10.221.92.210,"http, api"
2026-06-20T07:23:00.045369+00:00,83.240.95.182,vpn-gw,application,critical,Database query timeout after 30s: SELECT * FROM events,"http, auth"
2026-06-20T07:17:03.936625+00:00,71.57.57.64,vpn-gw,réseau,info,TLS handshake timeout from 168.231.111.112,"firewall, drop"
2026-06-20T06:31:23.863082+00:00,157.117.56.234,monitor,système,info,systemd: systemd.service start request repeated too quickly,"cpu, temp"
2026-06-20T06:08:27.408511+00:00,105.238.151.192,proxy-01,application,info,Database query timeout after 30s: SELECT * FROM events,"db, timeout"
2026-06-20T05:58:55.501927+00:00,218.7.99.226,auth-srv,système,info,systemd: postgres.service start request repeated too quickly,"cpu, temp"
